ID,date_id,player_name,Age,Overall rating,Potential,name,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Traits,PlayStyles,PlayStyles +,Number of playstyles,date,club_name,start_year,end_year
212831,240034,Alisson Ramses Becker,30,89,89,Liverpool2018 ~ 2027,193,91,Right,89,/players?pn=0,0,"Jul 19, 2018",,€68.5M,€180K,€126.7M,139,17,13,29,60,20,164,27,19,18,58,42,273,60,49,40,87,37,270,64,82,32,78,14,140,27,11,13,66,23,66,50,15,19,16,435,86,85,85,90,89,1471,491,3,1,Medium,Medium,5,Unique,Yes,86,85,85,89,56,90,,Far ThrowCross ClaimerRush Out,,3,2024-03-27,Liverpool,2018.0,2027.0
209331,240034,Mohamed Salah,31,89,89,Liverpool2017 ~ 2025,175,72,Left,89,/players?pn=23,0,"Jul 1, 2017",,€85.5M,€260K,€158.2M,399,80,92,59,85,83,404,88,84,69,77,86,451,89,89,89,93,91,411,82,81,87,77,84,376,63,55,92,85,81,90,122,38,43,41,62,14,14,9,11,14,2225,468,3,4,High,Medium,5,Unique,Yes,89,87,82,88,45,77,,Chip ShotRapidTrivela,Finesse Shot +,4,2024-03-27,Liverpool,2017.0,2025.0
203376,240034,Virgil Van Dijk,31,89,89,Liverpool2018 ~ 2025,193,92,Right,89,/players?pn=5,0,"Jan 1, 2018",,€70.5M,€220K,€130.4M,317,53,52,87,80,45,363,70,60,70,86,77,350,66,87,59,88,50,399,81,89,72,93,64,349,85,88,47,67,62,89,267,90,91,86,58,13,10,13,11,11,2103,456,3,2,Medium,High,4,Unique,Yes,78,60,71,72,89,86,,Power HeaderLong Ball PassJockeyBlockAnticipateBruiserLeadership,Aerial +,8,2024-03-27,Liverpool,2018.0,2025.0
192448,240034,Marc Andre Ter Stegen,31,89,89,FC Barcelona2014 ~ 2028,187,85,Right,89,/players?pn=0,0,"Jul 1, 2014",,€54.5M,€220K,€111.7M,118,18,14,11,61,14,144,21,18,12,63,30,262,45,50,39,85,43,262,67,72,35,78,10,171,43,22,11,70,25,70,48,25,13,10,437,86,85,89,86,91,1442,484,4,1,Medium,Medium,5,Unique,Yes,86,85,89,91,47,86,,FootworkCross ClaimerRush Out,,3,2024-03-27,FC Barcelona,2014.0,2028.0
190871,240034,Neymar Da Silva Santos Jr,31,89,89,Al Hilal2023 ~ 2025,175,68,Right,89,/players?pn=27,0,"Aug 15, 2023",,€85.5M,€115K,€136.8M,400,83,83,63,85,86,445,95,88,87,81,94,437,88,85,93,88,83,361,79,72,78,51,81,361,63,37,86,90,85,93,96,35,32,29,59,9,9,15,15,11,2159,444,5,5,High,Medium,5,Unique,Yes,86,82,85,93,37,61,,Incisive PassTechnicalFlairFirst TouchQuick StepTrivelaInjury Prone,Trickster +,8,2024-03-27,Al Hilal,2023.0,2025.0
165153,240034,Karim Benzema,35,89,89,Al Ittihad2023 ~ 2026,185,81,Right,89,/players?pn=21,0,"Jul 1, 2023",,€44M,€89K,€70.4M,433,75,91,90,89,88,409,87,82,73,76,91,392,76,77,77,90,72,411,87,83,80,80,81,358,63,39,90,90,76,90,85,43,24,18,41,13,11,5,5,7,2129,450,4,4,Medium,Medium,5,Normal (170-185),Yes,77,87,83,87,39,77,,Finesse ShotIncisive PassTiki TakaRelentlessTrivela,First Touch +,6,2024-03-27,Al Ittihad,2023.0,2026.0
252371,240034,Jude Bellingham,20,88,92,Real Madrid2023 ~ 2029,186,75,Right,90,/players?pn=18,4,"Jul 1, 2023",,€128.5M,€230K,€273.1M,385,66,87,69,89,74,391,88,73,56,87,87,411,81,80,82,89,79,408,79,81,93,75,80,406,85,82,88,87,64,85,233,77,79,77,48,14,11,10,5,8,2282,490,4,4,High,High,4,Normal (185+),Yes,80,82,81,87,78,82,,InterceptSlide TackleTechnicalFlair,Relentless +,5,2024-03-27,Real Madrid,2023.0,2029.0
239053,240034,Federico Valverde,24,88,92,Real Madrid2016 ~ 2029,182,78,Right,90,/players?pn=14,4,"Jul 22, 2016",,€130.5M,€270K,€277.3M,372,78,78,59,87,70,402,83,74,69,88,88,409,84,91,77,89,68,425,89,80,89,80,87,395,81,83,86,86,59,84,243,79,85,79,45,6,10,6,15,8,2291,499,4,3,High,High,3,Unique,Yes,88,81,84,84,80,82,,Power ShotLong Ball PassRapidRelentlessTrivelaLong Shot Taker (CPU AI),,6,2024-03-27,Real Madrid,2016.0,2029.0
231478,240034,Lautaro Martinez,25,88,90,Inter2018 ~ 2026,174,72,Right,89,/players?pn=25,2,"Jul 5, 2018",,€116M,€180K,€205.9M,403,60,91,86,75,91,378,85,78,54,73,88,427,83,77,88,90,89,420,85,93,80,84,78,378,90,45,91,78,74,88,130,55,31,44,48,11,8,8,8,13,2184,457,4,4,High,Medium,3,Unique,Yes,80,86,71,87,48,85,,TechnicalFlairTrivela,,3,2024-03-27,Inter,2018.0,2026.0
218667,240034,Bernardo Mota Carvalho E Silva,28,88,88,Manchester City2017 ~ 2026,173,64,Left,88,/players?pn=14,0,"Jul 1, 2017",,€91.5M,€270K,€169.3M,385,84,78,54,91,78,416,92,84,67,82,91,422,78,68,95,89,92,371,79,66,93,54,79,391,78,73,85,87,68,89,206,70,76,60,54,9,10,14,12,9,2245,468,3,4,High,High,3,Lean (170-185),Yes,73,78,86,92,70,69,,Tiki TakaFlairRelentlessTrivelaTeam Player,Technical +,6,2024-03-27,Manchester City,2017.0,2026.0
210257,240034,Ederson Santana De Moraes,29,88,89,Manchester City2017 ~ 2026,188,86,Left,88,/players?pn=0,1,"Jul 1, 2017",,€70M,€210K,€134.8M,131,20,14,14,65,18,203,30,40,20,68,45,323,64,63,60,88,48,287,68,79,44,78,18,206,38,27,20,70,51,70,52,29,15,8,433,87,82,91,86,87,1635,497,3,1,Medium,Medium,3,Unique,Yes,87,82,91,87,64,86,,Long Ball PassCross ClaimerRush Out,,3,2024-03-27,Manchester City,2017.0,2026.0
200389,240034,Jan Oblak,30,88,88,Atlético Madrid2014 ~ 2028,188,87,Right,88,/players?pn=0,0,"Jul 16, 2014",,€61M,€90K,€125.1M,95,13,11,15,43,13,109,12,13,14,40,30,292,42,53,64,85,48,263,59,72,42,78,12,149,36,24,11,67,11,68,59,27,14,18,426,85,90,78,86,87,1393,472,3,1,Medium,Medium,4,Unique,Yes,85,90,78,87,46,86,,Far ThrowCross Claimer,,2,2024-03-27,tico Madrid,2014.0,2028.0
194765,240034,Antoine Griezmann,32,88,88,Atlético Madrid2022 ~ 2026,176,73,Left,88,/players?pn=25,0,"Oct 10, 2022",,€74M,€135K,€151.7M,432,82,90,85,89,86,437,88,89,85,86,89,424,81,80,89,90,84,412,85,85,86,69,87,390,74,59,90,88,79,89,172,45,63,64,63,14,8,14,13,14,2330,477,3,4,High,High,5,Unique,Yes,80,88,87,88,59,75,,Chip ShotIncisive PassTechnicalFlairTrivelaAcrobaticLong Shot Taker (CPU AI),Finesse Shot +,8,2024-03-27,tico Madrid,2022.0,2026.0
256630,240034,Florian Wirtz,20,87,92,Bayer 04 Leverkusen2020 ~ 2027,177,71,Right,89,/players?pn=18,5,"Jan 31, 2020",,€118.5M,€77K,€210.3M,367,82,79,42,90+1,74,407,87,80,64,86,90+1,420,81,80,87,86,86,347,75,61,83,53,75,340,63,44,83+2,90,60,84,151,58,49,44,57,14,14,13,6,10,2089,443,4,4,High,Medium,3,Normal (170-185),Yes,80,76,86,88,50,63,,Chip ShotIncisive PassTechnicalFlairFirst TouchTrivela,,6,2024-03-27,Bayer,2020.0,2027.0
235073,240034,Gregor Kobel,25,87,90,Borussia Dortmund2021 ~ 2028,195,88,Right,87,/players?pn=0,3,"Jul 1, 2021",,€81.5M,€64K,€144.7M,85,13,10,13,39,10,116,24,13,12,33,34,241,38,52,37,85,29,247,55,71,30,81,10,119,24,14,10,59,12,66,45,15,15,15,418,86,84,73,86,89,1271,462,3,1,Medium,Medium,3,Normal (185+),Yes,86,84,73,89,44,86,,Far ThrowFootworkCross ClaimerRush OutLeadership,,5,2024-03-27,Borussia Dortmund,2021.0,2028.0
234378,240034,Declan Rice,24,87+1,88+1,Arsenal2023 ~ 2028,185,80,Right,87,/players?pn=10,1,"Jul 15, 2023",,€88.5M,€150K,€170.4M,343,72+17,64+3,72,85+1,50,388,82+2,72+4,65,86+2,83+4,346,68,74,55,84,65,397,78,79,91,79,70+5,381,85,86,61+3,78,71,83,256,85,86+1,85+2,47,8,11,14,5,9,2158,465,3,2,Medium,High,3,Normal (185+),Yes,71,68,80,79,84,83,,Long Ball PassBlockInterceptPress ProvenLong Shot Taker (CPU AI),,5,2024-03-27,Arsenal,2023.0,2028.0
232293,240034,Victor Osimhen,24,87,90,Napoli2020 ~ 2025,186,77,Right,89,/players?pn=25,3,"Sep 1, 2020",,€110M,€100K,€195.3M,391,62,91,84,71,83,336,83,63,52,54,84,414,87,92,78,89,68,424,86,94,81,86,77,337,68,34,90,70,75,80,103,36,45,22,53,14,14,10,9,6,2058,447,4,3,High,Medium,3,Lean (185+),Yes,90,86,65,82,42,82,,Chip ShotPower HeaderRapidAcrobatic,,4,2024-03-27,Napoli,2020.0,2025.0
230621,240034,Gianluigi Donnarumma,24,87,90,Paris Saint Germain2021 ~ 2026,196,90,Right,87,/players?pn=0,3,"Jul 15, 2021",,€85M,€90K,€163.6M,80,12,12,12,36,8,118,28,12,14,34,30,281,50,55,57,81,38,259,55,72,39,75,18,154,30,26,14,60,24,65,50,20,14,16,416,90,81,73,83,89,1358,468,3,1,Medium,Medium,3,Unique,Yes,90,81,73,89,52,83,,Cross ClaimerRush Out,,2,2024-03-27,Paris Saint Germain,2021.0,2026.0
228702,240034,Frenkie De Jong,26,87,90,FC Barcelona2019 ~ 2026,181,74,Right,89,/players?pn=14,3,"Jul 1, 2019",,€103.5M,€240K,€219.9M,383,78,72,72,91,70,413,87,84,64,89,89,417,80,83,87,88,79,379,68,82,89,74,66,374,74,82,77,88,53,90,229,76,76,77,49,7,13,10,10,9,2244,479,3,4,High,Medium,4,Unique,Yes,82,69,86,87,77,78,,Incisive PassLong Ball PassTiki TakaFlairPress Proven,Trivela +,6,2024-03-27,FC Barcelona,2019.0,2026.0
222665,240034,Martin Odegaard,24,87,90,Arsenal2021 ~ 2028,178,68,Left,89,/players?pn=18,3,"Aug 20, 2021",,€109M,€170K,€209.8M,393,86+1,83+1,55,90,79,433,87+1,84+1,85,88+1,89,397,74,71,85,84,83+1,373,82,66,85+4,56,84+1,371,64,66,83,90+1,68+5,87+1,183,67,59+4,57+3,62,14,15,15,8,10,2212,456,2,5,High,Medium,4,Lean (170-185),Yes,72,82,88,87,62,65,,Pinged PassWhipped CrossTechnicalFlairFirst TouchTrivelaSolid PlayerLeadership,Incisive Pass +,9,2024-03-27,Arsenal,2021.0,2028.0
215698,240034,Mike Maignan,27,87,90,Milan2021 ~ 2026,191,89,Right,87,/players?pn=0,3,"Jul 1, 2021",,€78M,€90K,€138.5M,131,18,15,17,65,16,186,31,38,16,61,40,285,50,53,41,85,56,277,65,75,39,78,20,155,35,25,15,65,15,68,58,23,16,19,428,85,82,87,85,89,1520,479,4,1,Medium,Medium,3,Normal (185+),Yes,85,82,87,89,51,85,,Far ThrowCross ClaimerLeadership,,3,2024-03-27,Milan,2021.0,2026.0
212622,240034,Joshua Kimmich,28,87,87,FC Bayern München2015 ~ 2025,177,75,Right,87,/players?pn=10,0,"Jul 1, 2015",,€70M,€110K,€115.5M,388,91,68,72,88,69,418,82,85,76,91,84,397,77,65,84,87,84,400,78,78,93,68,83,405,86,85,80,85,69,86,243,81,84,78,60,8,15,7,15,15,2311,475,4,3,High,Medium,4,Normal (170-185),Yes,70,74,88,83,82,78,,Whipped CrossPress ProvenRelentlessLeadership,Long Ball Pass +,5,2024-03-27,nchen,2015.0,2025.0
212198,240034,Bruno Miguel Borges Fernandes,28,87,87,Manchester United2020 ~ 2026,179,69,Right,87,/players?pn=14,0,"Jan 30, 2020",,€79.5M,€220K,€151.1M,402,82,82,63,88,87,420,78,85,82,89,86,386,74,68,78,90,76,395,86,71,95,60,83,417,84,63,86,94,90,79,196,62,71,63,63,12,14,15,8,14,2279,463,3,4,High,High,4,Unique,Yes,71,84,88,81,65,74,,Incisive PassLong Ball PassFlairFirst TouchTrivelaLong Shot Taker (CPU AI)Solid PlayerLeadership,Pinged Pass +,9,2024-03-27,Manchester United,2020.0,2026.0
207865,240034,Marcos Aoas Correa,29,87,88,Paris Saint Germain2013 ~ 2028,183,75,Right,87,/players?pn=5,1,"Jul 19, 2013",,€73.5M,€140K,€141.5M,334,68,59,88,84,35,323,69,58,32,85,79,379,76,82,68,86,67,360,65,89,83,78,45,368,81,89,70,76,52,86,267,90,89,88,47,6,6,12,10,13,2078,453,3,3,Medium,High,3,Normal (170-185),Yes,79,56,75,74,89,80,,Power HeaderJockeyAnticipateAerialTeam Player,Intercept +,6,2024-03-27,Paris Saint Germain,2013.0,2028.0
200104,240034,Heung Min Son,30,87,87,Tottenham Hotspur2015 ~ 2025,183,78,Right,87,/players?pn=27,0,"Aug 28, 2015",,€77M,€170K,€146.3M,406,84,90,70,83,79,403,87,87,74,72,83,418,85,88,81,90,74,407,88,78,88,64,89,349,62,39,91,82,75+2,88,114,47,34,33,53,11,13,13,6,10,2150,453,5,4,High,High,4,Unique,Yes,87,88,81,85,42,70,,RapidQuick StepLong Shot Taker (CPU AI)Solid PlayerTeam PlayerLeadership,Finesse Shot +,7,2024-03-27,Tottenham Hotspur,2015.0,2025.0
177003,240034,Luka Modric,37,87,87,Real Madrid2012 ~ 2024,172,66,Right,87,/players?pn=14,0,"Aug 1, 2012",,€25M,€190K,€51.3M,380,86,72,55,91,76,429,84,85,78,92,90,414,75,70,92,85,92,369,79,67,83,58,82,392,62,80,76,91,83,92,215,70,73,72,52,13,9,7,14,9,2251,462,4,4,Medium,Medium,4,Lean (170-185),Yes,72,76,89,87,72,66,,Incisive PassLong Ball PassWhipped CrossTechnicalLong Shot Taker (CPU AI)Team Player,Trivela +,7,2024-03-27,Real Madrid,2012.0,2024.0
167495,240034,Manuel Neuer,37,87,87,FC Bayern München2011 ~ 2025,193,93,Right,87,/players?pn=0,0,"Jul 1, 2011",,€9M,€55K,€14.9M,124,15,13,25,60,11,169,30,14,11,68,46,268,48,50,51,84,35,284,68,77,43,80,16,188,29,30,12,70,47,70,38,17,10,11,431,84,85,90,88,84,1502,480,4,1,Medium,Medium,5,Unique,Yes,84,85,90,84,49,88,,Pinged PassFar ThrowCross ClaimerRush OutInjury ProneLeadership,,6,2024-03-27,nchen,2011.0,2025.0
256790,240034,Jamal Musiala,20,86,93,FC Bayern München2020 ~ 2026,184,72,Right,88,/players?pn=18,7,"Jun 3, 2020",,€134.5M,€79K,€248.8M,347,67,79,49,82,70,380,94,69,51,77,89,440,84,86,93,85,92,344,73,65,78,53,75,342,59,65,81,82,55,84,195,64,63,68,42,6,9,8,8,11,2090,451,4,5,High,Medium,3,Lean (170-185),Yes,85,75,76,91,63,61,,FlairFirst TouchTricksterLong Shot Taker (CPU AI),Technical +,5,2024-03-27,nchen,2020.0,2026.0
253163,240034,Ronald Araujo,24,86,91,FC Barcelona2018 ~ 2026,188,79,Right,88,/players?pn=5,5,"Aug 29, 2018",,€93M,€175K,€197.6M,313,58,56,85,76,38,281,55,47,45,66,68,357,76,86,56,84,55,354,68,92,72,87,35,330,87,85,56,59,43,76,258,86,86,86,53,11,14,9,11,8,1946,432,3,2,Medium,High,3,Normal (185+),Yes,82,53,65,62,86,84,,Power HeaderJockeyAnticipateSlide TackleAcrobaticInjury Prone,Block +,7,2024-03-27,FC Barcelona,2018.0,2026.0
251854,240034,Pedro Gonzalez Lopez,20,86,92,FC Barcelona2020 ~ 2026,174,60,Right,88,/players?pn=14,6,"Aug 4, 2020",,€105M,€165K,€236.3M,334,68,72,50,88,56,402,87,79,62,86,88,422,81,76,88,87,90,369,68,73,87,73,68,355,62,73,79,88,53,87,210,68,77,65,46,12,7,11,8,8,2138,461,4,4,High,High,3,Lean (170-185),Yes,78,69,82,88,70,74,,Incisive PassLong Ball PassTechnicalFirst TouchRelentlessSolid Player,Tiki Taka +,7,2024-03-27,FC Barcelona,2020.0,2026.0
247635,240034,Khvicha Kvaratskhelia,22,86,92,Napoli2022 ~ 2027,183,70,Right,87,/players?pn=18,6,"Jul 1, 2022",,€109M,€95K,€207.1M,368,78,81,62,83,64,401,90,82,65,76,88,417,85,86,86,84,76,388,78,78,79,70,83,335,62,40,82,86,65,79,111,38,39,34,54,9,15,8,14,8,2074,445,5,5,Medium,Medium,2,Normal (170-185),Yes,86,79,81,87,41,71,,Finesse ShotIncisive PassWhipped CrossTechnicalFlairTrivela,Trickster +,7,2024-03-27,Napoli,2022.0,2027.0
246669,240034,Bukayo Saka,21,86,90,Arsenal2018 ~ 2027,178,65,Left,87,/players?pn=16,4,"Sep 14, 2018",,€99M,€150K,€190.6M,375,85+2,84,45,82,79,399,89,84+2,69,69,88,428,88,82,85,85,88+1,381,79,70,86,63,83+1,381,68,62,82,85+1,84+2,81,182,60,62,60,50,7,8,13,9,13,2196,466,4,3,High,Medium,2,Lean (170-185),Yes,85,82,81,88,60,70,,Finesse ShotTechnicalFlair,,3,2024-03-27,Arsenal,2018.0,2027.0
241721,240034,Rafael Da Conceicao Leao,24,86,91,Milan2019 ~ 2028,188,81,Right,86,/players?pn=27,5,"Aug 1, 2019",,€102.5M,€110K,€181.9M,379,78,82,65,80,74,381,90,80,60,63,88,437,94,94,85,84,80,397,80,86,77,80,74,304,60,24,82,75,63,83,67,22,24,21,57,10,12,15,11,9,2022,439,4,5,Medium,Low,2,Normal (185+),Yes,94,79,75,88,27,76,,Finesse ShotWhipped CrossFlairTricksterQuick Step,Rapid +,6,2024-03-27,Milan,2019.0,2028.0
240130,240034,Eder Gabriel Militao,25,86,89,Real Madrid2019 ~ 2028,186,78,Right,88,/players?pn=5,3,"Jul 1, 2019",,€80M,€210K,€170M,316,69,48,87,78,34,318,70,60,40,76,72,387,82,88,70,85,62,360,62,92,85,79,42,353,84,86,64,59,60,74,258,86,87,85,61,11,8,15,12,15,2053,443,3,2,Medium,High,3,Unique,Yes,85,50,69,71,86,82,,Power HeaderLong Ball PassBlockInterceptAerialEarly Crosser (CPU AI),,6,2024-03-27,Real Madrid,2019.0,2028.0
237692,240034,Phil Foden,23,86,90,Manchester City2016 ~ 2027,171,69,Left,89,/players?pn=18,4,"Dec 6, 2016",,€97.5M,€195K,€187.7M,355,80,82,47,87,59,411,88,82,68,82,91,427,86,78,91,81,91,361,87,63,83,47,81,358,64,59,85,86,64,86,166,60,59,47,52,8,15,6,10,13,2130,452,3,4,High,High,3,Unique,Yes,82,81,83,89,57,60,,TechnicalFlair,First Touch +,3,2024-03-27,Manchester City,2016.0,2027.0
232411,240034,Christopher Nkunku,25,86,88,Chelsea2023 ~ 2029,175,73,Right,87,/players?pn=18,2,"Jul 1, 2023",,€86.5M,€185K,€170.8M,383,81,86,61,85,70,419,89,82,80,80,88,426,81,82,88,85,90,373,79,74,78,64,78,360,59,64,86,84,67,81,180,62,64,54,43,5,6,10,15,7,2184,463,3,5,Medium,Medium,3,Normal (170-185),Yes,82,81,83,88,62,67,,Finesse ShotIncisive PassTechnicalFlairFirst TouchTrivela,,6,2024-03-27,Chelsea,2023.0,2029.0
231443,240034,Ousmane Dembele,26,86,87,Paris Saint Germain2023 ~ 2028,178,67,Left,86,/players?pn=23,1,"Aug 12, 2023",,€80M,€150K,€154M,360,86,75,43,80,76,398,89,82,64,76,87,438,94,93,90,80,81,344,83,65,68,52,76,328,54,36,80,83,75,81,105,42,30,33,49,6,6,14,10,13,2022,431,5,5,High,Medium,3,Unique,Yes,93,77,81,87,36,57,,FlairTricksterQuick StepInjury Prone,Rapid +,5,2024-03-27,Paris Saint Germain,2023.0,2028.0
231281,240034,Trent Alexander Arnold,24,86,88,Liverpool2015 ~ 2025,180,72,Right,88,/players?pn=14,2,"Oct 7, 2015",,€81M,€140K,€155.9M,383,93,64,69,89,68,428,79,88,85,92,84,381,73,79,73,84,72,393,85,75,89,68,76,377,69,84,79,90,55,82,238,78,82,78,56,14,15,14,6,7,2256,471,4,3,High,Medium,3,Unique,Yes,76,71,90,80,80,74,,Dead BallIncisive PassWhipped CrossLong Shot Taker (CPU AI)Early Crosser (CPU AI),Long Ball Pass +,6,2024-03-27,Liverpool,2015.0,2025.0
